"MOD_CAP","TRAIN","FULL_CAP"
"sold 10mm uv active pink proton sauce bottle end dm interested photo ad independent photographer",0,"SOLD 10mm UV Active Pink Proton Sauce Bottle
$end a DM if interested

Photo by A.D. Independent Photographer

#glassofig #bestofglass #HeadyGlass #glass #highendglass #glassofig #bubblecap #raymondbowerz #raymondbowerzglass #instaweed #quartz #ThousandDollarSmoke #glassforsale #denverart #denver #710"
"little pbr mini made one fun little challenge make twice oh nice measures 3cm tall love fun little sculpturals please dm would like order one one",0,"Little PBR mini can made for @tooturnttoskrrrt ! This one was a fun little challenge, had to make it twice but it's oh so nice! This measures 3cm tall! Love doing these fun little sculpturals, please dm me if you would like to order one one for yourself! #pabstblueribbon #PBR #glassminiatures #bestofglass #nowthatsheady #eastcoastboro #highendglass #keepitglassy #glassofig #headyart #glassgamestrong"
"made little cap today homie smallest bubble cap ive made far thanks checking",0,"Made this little cap today for a homie, smallest bubble cap ive made so far!! Thanks for checking it out!!🙏🍭🍬 #glass #glassofig #bubblecap #carbcap #paralax #cfl #smokeemifyougotem #glassart #710"
"boro chain sold colors shamrock starwhite 34 links 32 inches 400 plus shipping chain available saturday july 6th spencer thank im color need finish job",0,"Boro Chain #9 (SOLD)
@celtics colors shamrock / starwhite
💚
34 links / just over 32 inches 💚 $400 Plus shipping

This chain will be available at the @terptownthrowdown this saturday july 6th in Spencer MA 💚💚💚💚💚💚💚💚💚💚💚💚
#StoneyChicken #stoneychickenglass #boroforsale #boroofig #chainlink #⛓ #chaingang #borochains #🐓 #glasschain #welcometothechickencoop #hatersmakemefamous #mrchicken #glassofig #glassforsale #findyourfire #420 #710 #🐔 #cannabiscommunity #lampworksupply #glasscraft #pendantsofig #pendant #chainlinkpendant

Thank you to @8thwonderstudio being there when im out of color and need to finish a job!!"
"daaaaaaaamn beauty absolutely love vibes one started thinking ill make hammer quickly realized thats going killer cacti serape prep booth 660",0,"🌵🌵 Daaaaaaaamn, this is a beauty! Absolutely love the vibes on this one! I started off thinking I'll make a hammer, but quickly realized that's not how its going down! @aspen.slaughter with the killer cacti and serape prep. Booth 660! @theseattlehempfest 🙏💪🌵🌵 #happydays #serape #cactus #glassart #iliketomeltthings #nowthatsheady #glassofig #headyart"
"credit love design pipes made thats got really cool optical effect go show love justin ashleys ig cheers photo artist",0,"Credit to from @nowas.glassgallery (@get_regrann) -  Love the design of these pipes made by @justinashleyglass - That's got a really cool optical effect. ⚡✨ - Go and show some love on Justin Ashley's IG - Cheers 🍁
______________________________________
🎥Photo: @justinashleyglass
______________________________________
🎨Artist: @justinashleyglass
______________________________________
#justinashleyglass #bestofglass #worldofbongs #glassofig #flamework #epic #nowasgallery #functionalglassart #glassart #oprahsbookclub #thousanddollarsmoke #headyglass #headyart #boroofig - #regrann"
"made solo jazz bubblecaps looking fresh innthe sunlight hit dm trying scoop one colors slyrm meraterrania peach telemagenta fit 2030mm bangers",0,"Made some solo jazz bubblecaps! Looking fresh innthe sunlight. ☀
Hit the DM if your trying to scoop one
Colors are Slyrm, Meraterrania, Peach, and Telemagenta
Will fit 20-30mm bangers 
#boro #glassofig #bubblecap #solojazz #90s #90sjazz #northstarglass #trautmanartglass #moltenaura #dabstagram #oprahsbookclub #glassporn #headyglass #headyaf #pnwglass #weedstagram #bestofglass"
"pleasure seeing opaled chain made back fix opal popped guess expected since opal every single link thanks ordering beauty",0,"Had the pleasure of seeing this opaled out chain again that I made a while back! Had to fix up an opal that popped, I guess it was expected since there’s an opal in every single link! Thanks again @jbeats._ for ordering this beauty!💎
.
.
.
#glasschain #vitamino #glasschains #glass #dragonseye #glassnecklace #glassart #glassofig #glassporn #chains #raindrop #oprahsbookclub #wearableart #opals #opal#headyart #headyglass #glasslife #artglass #art #pendy #artlife #necklace #levelup #glassalchemy #glassforsale #doit #heady #jng #jngstudios"
"hammer teacher still grabs holler either us scoop",0,"This hammer from myself and my teacher @spunchun is still up for grabs, holler at either of us to scoop! 🤤💎🚀📸: @spunchun #mitchellglass #ragingglass #testcrew #spunchun #teamnocoast #snodgrassfamilyglass #harryglass #glassofig #glass_of_ig #glassart  #lampworking #glassporn #glasscolor #glass #hammer #hammertime #hammersofig #bestofglass #headyart #headyglass"
"snow june looks like shop day today",0,"Snow in June? Looks like a shop day today!✌😂
.
.
.

#centraloregon
#lapine #highdesert #snow #sleet #cold #lathe #glasslathe
#glass #glassart #lampwork #420 #710 #Oregon #oregonmade  #westcoast #dabs #wax #shatter #rosin #glasslife #bubblecap #bubblecaps #carbcap  #handspun #handmade #art #glassblowing"
"auction starting bid 15 w 3 increments winner gets bullet tip carb cap shipping 6 bin 25 auction ends 24 hours first bid payment accepted via paypal debit credit card",1,"****AUCTION***
Starting bid: $15 w/ $3 or more increments
Winner gets this Bullet Tip Carb Cap
Shipping: $6
BIN: $25
Auction ends 24 hours after the first bid
Payment accepted via PayPal, Debit or Credit Card"
"like green brown top middle go together black sliver switch",0,"I like how the green and the brown on the top and middle go together black and sliver switch it up #carbcap #glassblowing #colorglass #glasscolor  #art #boroglass #glasstools #710 #710society #710community#wedontdabthesame #wedontsmokethesame #colorglass #oprahsbookclub #oprahswookclub #bubblecapforsale #heady #headyart #cannabiscommuntiy #dabs #dabstagram#smokeshop #smokeshops#fumedglass #silverfume"
"sold vibrancy color one spot like",0,"(Sold) The vibrancy of the color in this one is spot on how I like it!  #glass #glassofig #boro #boroofig #heady #headyart #headyglass #oprahsbookclub #highsociety #borohive #stoner #420 #710 #710society #dab #dabs #bestofglass #pendy #glassforsale #pendantsofig #fume #spiral #fractaltech #tischlerglass"
"mario sold",0,"This Mario #DabCastle is Sold!! @senditt86 🏰
🔌
🔌
#headyglass #art #california #cannabis #420 #710 #dabs #dab #hightimes #weshouldsmoke #smokeshop #sauce #shatter #rosin #bubblecapdonuts #bubblecap #carbcap #marijuana #jade #bubblecapdonuts #dabstars #headies #smokeshopowners #headshop #concentrates #terpenes #banger #dabcastle #dabbing"
"lucy encased heavy blue stardust bubble cap bluev tip mibs 50 includes fees shipping dm scoop call dibs",0,"🔥🧢🧢🧢 Lucy encased Heavy Blue Stardust bubble cap! Blue-V tip and mibs. 50💸 includes fees and shipping. DM to scoop or call dibs below! 😊🔥 #glass #uvglass #glassofig #boro #bubblecap #carbcap #kilningit #hightimes #dabs #cannabiscommunity #glassart #colorado #smurphworks"
"beracky luminous quartz thermochromic interested please contact thanks",0,"Beracky Luminous  Quartz Thermochromic 
If you are interested it, please contact me, thanks ~
#quartzbanger #headyglassforsale #headypendant #bubblecap #heady #dabrig #dabbersofig #lowtemp #rigsofig #highendglass"
"sold going things made last months still rick morty 30mm bubble cap dabber available send message info thanks looking",0,"**Sold** Going through some things I’ve made over the last few months. Still have this Rick and Morty 30mm bubble cap and Dabber available. Send me a message for more info. Thanks for looking 👍🏼✌🏼🤟🏼
#scootersglass #glassofct #rickandmorty #dab #dabber #bubblecap #headyglass #milli #rickandmortyart #glasslife #glassofig #bestofglass #handmade #art #glassart #dabstagram"
"bubblepipe",0,"Bubblepipe? #sold #maineboro #glassforsale #buyboro #boroforsale #glass4sale #headyglass #glasscollector #glassart #glass_of_ig #pendant #pendantsofig #glassauction #auction #boro #glassart #dabs #shatter #eastcoastdabbers #westcoastdabbers #closedeyevisuals #207stoners #oprahsbookclub #cannabiscommunity #hightimes #maine #bubblecap #pipe"
"rig scooped one go check swirls horns favorite part",0,"🔥 🐉 rig by @mikelunaglass scooped by the one and only @matthias_710wrx ... go check them both out!

#repost @matthias_710wrx
・・・
The swirls in the horns are my favorite part @mikelunaglass 😭🔥🍆💦🐉🙏🏻❤️
#positivevibesonly #fuckery #teamsmallnips #fueledbymids #mikeluna #mikelunaglass #headyglass #bestofglass #rigsofig #glassart #headyart #dragon #cannabiscommunity #420life #420community #710works #710society"
"amazing set amazing lucy straw blue uv ice cube sold cups straws show hosted last month mad love thanks brother adding gorgeous set collection love support soldaf fam",0,"Amazing set by the amazing
🔥🔥🔥 @murdocglass 🔥🔥🔥
Lucy straw and blue UV Ice cube ❄️❄️❄️
Sold at “Cups & Straws” show we hosted last month.
Mad love and thanks to my brother
🙌🙌🙌 @idab710 🙌🙌🙌
For adding this gorgeous set to his collection and for all the love and support 🙏🏻
SoldAF @harborsmokezone
📸 by my fam @capturingfunction
/
/
#dablife #710 #710life #420 #headshop #heady #headyart #headyglass #headyglassforsale #dab #headylife #thousanddollarsmoke #glassofig  #highsociety #dabsdaily #hightimes #mmj #terps #glassart #boro"
"still working wholesale order going back shop tomorrow morning hours kids school ill finished end week going make extra dabber caps think im going start listing things back etsy shop ill make post reopen shop boob",0,"Still working on that wholesale order. Going to be back in the shop tomorrow morning for a few hours while my kids are in school. I'll have this finished up by the end of the week. Going to make up some extra dabber and caps and I think I'm going to start listing some things back in my etsy shop. I'll make a post if I reopen the shop. #dabs #dabber #710 #420 #sideboob #glassofig #garlicbread #boro #bubblecap #glassporn #iwillmarrymary #captainplanet #oprahsbookclub #tuopipes #cap #carb #heady #boobytrapspeltbackwardsispartyboob #carbcap #glass #headyglass #bestofglass #chugfuxker #710society #ronaldreganwasacaveman #glassforsale #whendidyoustopremembering"
"couple slidecap stands im auction",1,"Couple of Slide/Cap Stands I'm about to auction off!"
"bringing available dm info",0,"@envyglassdesigns bringing the 🔥🔥🔥 💎💎🤯🔥🔥🔥 available now dm for info"
"really like one came scooped dawg second piece appreciate continued support long time friend",0,"Really like how this one came out. 🔥 Scooped by my dawg @man_cave_concentrates 🤸This is his second piece from me, I appreciate the continued support from a long time friend! 👊❤️ #headyart #bestofglass #thatsfirebro #headyglass #highendglass"
"dab cured resin banana shit boss gave pretty tastey",0,"Dab of some cured resin banana shit my boss gave me pretty tastey👍🏻 #pukingbeagle #function #terps #mmmp #dabs #cleanmeds #marble #recycler #heady #draingame #bubblecap #wasteittotasteit"
"double bubble bubble caps great design concept combination dark delicious made tag friend would love one",0,"The Double Bubble BUBBLE CAPS are such a great design concept and a combination of dark and delicious 😋
.
Made by @skimaskglass 🐵❤️🔥🙌
.
Tag a friend that would love one of these!"
"giveaway giveaway giveaway first thanks much support means yall know im also shadow banned moment extra support would amazing rules make sure follow every step best chance win free enter follow steps 13 1like post 2follow 3comment tag 3 peoplethey randoms tag separate comments extra entries follow steps 4 4repost picture page story make sure tag know posted 5keep tagging friends every friend 3 extra entry",0,"#Repost @glass_globs_and_quartz
• • • • •
-GIVEAWAY !!! GIVEAWAY!!! GIVEAWAY!!!
~First off thanks so much for all the support it means more than yall know! I'm also shadow banned at the moment so any extra support would be amazing!
.
 Now below is the rules for the #giveaway make sure you follow every step for you best chance to win a free @217_glass #bubblecap ! .
TO ENTER  FOLLOW STEPS 1-3!!!
.
1)Like this post .
2)follow me @glass_globs_and_quartz
.
3)comment below and tag 3 people(they can be randoms 😁) TAG THEM IN SEPARATE COMMENTS!
.
FOR EXTRA ENTRIES FOLLOW STEPS 4-
.
4)repost this picture to your page or story and MAKE SURE YOU TAG ME SO I KNOW YOU POSTED !!!
.
5)keep tagging friends every friend after 3 is an EXTRA ENTRY!!! .
.
.
.
.
.
.
.
.
.
.
.
..
.
#bubblecaps #glass_of_ig #glassartist #glassart #glassy #glassgiveaway #giveawaycontest #giveaways #freebie #free #glasscollector #glassporn #handmade217 #glassgallery #boroglass #borosilicate #borosilicateglass #boroballers #passiton #forthecommunity #muchlove_ig #hippiestyle #caps #glassofig #glassblowing"
"giveaway wins lemon cap lemon free really want easy last comment wins 2 hour break comments last person left comment wins ill judge must like post following win feel free tag people matter fact winning comment someone tagged ill throw extra cap",0,"***Giveaway Over @dominicdifilippo wins the lemon cap!***
You can have this lemon #bubblecap for free if you really want it! It's easy 👉 Last comment Wins!👈 When there is a 2 hour break in the comments the last person who left a comment wins. I'll be the judge. Must like the post and be following me to win. Feel free to tag people. As a matter a fact if the winning comment has someone tagged in it I'll throw in an extra cap! #drlglass #drlglasslovesyou"
"finally found cfl light",0,"Finally found a cfl light 😍 
#headyart #glassofig #nevadaglass #bestofglass #glassporn #10mmmafia #sirkinglass"
"video rig cap quartz dabber mat",0,"🎥Video: @itsslabs .
🎨Rig: @puntington 
Cap: @grateful_dom 
Quartz: @toro_glass 
Dabber: @stainless_katana 
Mat: @libbygoines"
"psyched shop dont forget today july 10th come get 30 glass including",0,"We are psyched to have @603glass in the shop!! Don't forget today ONLY July 10th come by and get 30% off all Glass including these #sick #pieces #localglass #supportlocalartists #603glass #fishwhistle #fishpendant #sherlock #flyreel #netpendant #bubblecap #nh4damnsure #heady #weshouldsmoke #glassofinstagram #glassart #supportlocalbusiness #smokeshop #420 #710"
"carb cap dabber set made silver aqua bubblecap made 25mm bangers pawn dabber measures 5 inches sold",0,"🦁Carb Cap & Dabber Set🦁
Made with Silver Aqua by
@northstarglass 🐬♟🛡♟🐬
Bubblecap is made for 25mm bangers, and the Pawn Dabber measures just under 5 inches. ♟SOLD♟
#glassofig #glassart #glassartist #jwesglassart #dabs #dabsdaily #dabtool #dabber #dabbersunite #dabbersofig #carbcap #bubblecap #silveraqua #northstarglass #westcoastdabbers #eastcoastdabbers #phillydabbers #nycdabbers #concentrates #terps #terpsauce #liveresin #rosin #hashrosin #710 #710labs #710society #monaco"
"showing function amazing chug",0,"Showing off some function!! Amazing chug!
@americanriver_extracts
@mattypharo
@westcoastglassart
@217_glass
@eternal_quartz 
#americanriver #solventless #rosin #socaltonorcal #joehalen #eternalquartz #bubblecap #oil #710 #rig #recycler #headie"
"twisted chess inspired piece finally got photo booth set thought think need lessons photography stands 6 tall 14mm female joint",0,"Twisted chess inspired piece.  Finally got my photo booth set up again.  Thought i think I need some lessons on photography.  Stands 6” tall with a 14mm female joint. 🔥🏔 #coloradoglass #glassforsale #headyglass #headyglassforsale #lowtemp #wasteittotasteit #topshelflife #oprahswookclub #terps #terpsonterps #smallerisballer #grommytube #sauce #cbd #bubblecap #cbdisolate #710 #420 #glassart #rigsofig"
"sold cup holder rigs rip hard decided make couple sell perfect travel rig 3 hole",0,"***Sold*** These cup holder rigs rip so hard I decided to make a couple to sell. Perfect travel rig! 3 hole #gillperc #14mm  #amberpurple #glassofig #glassforsale #headyart #420 #710 #dabs #drlglass #drlglasslovesyou"
"grump peak attachment available calldm info peak sold separately",0,"🍋😡Grump Peak Attachment by @oil_glass_contraptions is available now @unwindsmokeshop!! Call/Dm for info!!! #oilglasscontraptions #grump #puffco #peak #peakattachment #puffcopeak #puffcopeakattachment #peaking #unwindsmokeshop #unwind #smokeshop #smoke #smoker #smoking #dab #dabs #dabbing #dabber #oil #herb #710 #420 #dablife #highlife #hightimes #oprahsbookclub #glassofig #glassforsale #heady #lemonhead
*Peak Sold Separately*"
"sold collection boy new attachment available comes matching top hat cap dm details priceshippingall info",0,"Sold! In the collection of our boy @oceangrownoc New @slugworthglass420 #puffcopeak attachment available here only @rodeosmokeshopoc comes with matching top hat cap! Dm for details on price/shipping/all other info ! #slugworthglass"
"caught good angles clear lunar rays peak cap black opal encased handle color much striking capabilities difficult get two looking exactly cap available really appreciate support",0,"Caught some good angles on this Clear Lunar Rays peak cap with black opal encased in the handle. This color has so much striking capabilities it is difficult to get two looking exactly the same. This cap is available through @dripglass. Really appreciate the support 🙏 #BatryGlass#coilpot#carbcap#bubblecap#thermalcap#bestofglass#peakcap#puffcopeakcap#heady#headyglass#headyglassart#glass#glassart#glasslife#glasslove#glassofig#glassblowing#flameworking#lampworking#gttmirage#glassforsale#glass4sale#progress"
"little reminder post sick pendant auction one post back going steal currently go check dig made many head pendants like one thanks looking",0,"Just a little reminder post that this sick pendant is up for auction one post back and it’s going for a steal currently! Go check it out if you dig it, I haven’t made many head pendants like this one! Thanks for looking 
#creepyspookyglass #auction #orlandoglassunion #errlando #orlando #glassforsale #dabbersdaily #cannabiscommunity #boro #bestofglass #bubblecap #floridaglass  #localart #glassofig #headyglass #oprahsbookclub #steals #glasscommunity #boroforsale #floridaglassblower #glassauction #headyboro #boroauction #fume #fumedglass"
"artist dimensionglass soup glass colors picturedleft right potion robins egg tonic colors yellow green gluestick raindrop pricing 1 bubblecap 100 2 sauce scoop 60 3 sets cap scoop 150 mix match must scoop cap qualify set everything available individually shipped 23 day priority mail",0,"Artist: dimensionglass / soup glass
☣️
☣️
🌈(COLORS PICTURED)Left to right

Potion, robins egg 🥚, tonic, colors of yellow, green , gluestick , raindrop
•
•
Pricing:
1️⃣Bubblecap $100 💰
2️⃣Sauce scoop $60 💰
3️⃣Sets ( cap and scoop ) $150 💰
💭( you can mix and match but must be a scoop and cap to qualify as set)
•
☣️
Everything is available INDIVIDUALLY too! ☣️
Shipped 2-3 day priority mail ✈️
☣️
☣️
•
•
•
•
•
#fueledbythc #glassblowing #boro #dabbersdaily #topshelflife #bestofglass #710 #glasslife #headyglassforsale #headyglass #thousanddollarsmoke #glassforsale #highsociety #heady #oprahsbookclub #glassporn #headyart #glassofig #glassart #highendglass #headies #functionalglassart #boroforsale #boroballers #eastcoastdabbers #newglass #headyrigs #wedontsmokethesame #dablife #vape"
"40oz bubble cap available one number 16 color way calldm info",0,"40oz Bubble cap by @slumgold is available @unwindsmokeshop this one is number 1/6 in this color way! Call/Dm for info! #unwind #unwindsmokeshop #smokeshop #smoke #smoker #smoking #dab #dabs #oil #dabbers #dabbing #slumgold #40oz #beergoggles #coolcomplex #bubblecap #cannabis #cannabiscommunity #hightimes #dablife #highlife #olde #weshouldsmoke #malt #maltliquor"
"go follow mesmerizing videos new products get mood especially today 710 go celebrate look another later today chunk fruity funk hash rosin gavel v2 song smiling ghosts gavel bangers bunch carb caps dab accessories hive come check",0,"#repost 🔥@abraca_dabba 🔥go follow him for more mesmerizing videos, new products and just to get in a mood. Especially because today is 7/10 so go celebrate and look out for another #hivegiveaway later today 🔥
・・・
Chunk of some Fruity Funk Hash Rosin by @happycabbagefarms on the @highlyeducatedti gavel V2🍯 @asa_glass Song is “Smiling Ghosts” by @kilamdapro 💽 #meltshot #headyglass #function #pnwstoners #asaglass #bubblecap #honeycomb #solventless #hashrosin #terps #pdxdabbers #oprahsbookclub #lofi #710community #tillthenextlife •
•
•
We have gavel bangers and a bunch of carb caps and dab accessories at the Hive. Come by and check then out"
"ction grey pink starting bid 15 1 increments ends tonight 6pm pst 7319 10 minute snipe rule dm questions winner pays 5 shipping us 15 international winner must paypal venmo ready also take cash app winner must contact within 24hrs pay item reauctioned must 1821 years older bid please tag person outbid thanks happy bidding",1,"**CTION! For a grey and pink #scoopdabber ! Starting bid is $15 with $1 or more increments.  Ends tonight at 6pm PST 7/3/19 with a 10 minute snipe rule! Dm for questions.  Winner pays $5 shipping us and $15 for international.  Winner MUST BE PayPal OR venmo ready OR I also take the cash app now 😀. Winner MUST CONTACT WITHIN 24HRS and PAY OR ITEM will BE REAUCTIONED.  MUST BE 18/21 years OR OLDER to bid.  PLEASE TAG THE PERSON YOU OUTBID THANKS AND HAPPY BIDDING 😀
#glassforsale#dabbers#dabber#dabtools#terptools#terpspoon#highsociety#dabsociety#headyglass#dailydabbers#oprahsbookclub#bestofglass#glassofig#dabstagram#710society#glassauction#glassauctions"
"real heavy",0,"Real Heavy @ironlak"
"double mai tai 25mm bubble cap accented rgb tumbled opal cap sold 50 shipped dm click link bio purchase",0,"Double Mai Tai @cpbglass 25mm bubble cap accented with a @grandpaglass RGB tumbled opal ⚔️ This cap is *sold* for $50 shipped DM or click the link in our bio to purchase 🚀 #bvglassart #cpbglass #opals #vitaminO #americanglass #maitai #trautmanartglass #glassalchemy #grandpaglass #bubblecap #carbcap #artofig #glassforsale #availableglass #glassofig #glassart #headyglass #glassforsale #bestofglass #borosilicate #boro #hustleboro #glassblowing  #supportlocalglass"
"morninggg three electroformed spaceships ready soar universe three carved jade electroformed 24k gold along edging3 comment interest leave bass center3 ill insane things lot 3",0,"Morninggg! I have three Of these Electroformed SpaceShips ready to soar through the universe. All three are Carved Jade Electroformed with 24K Gold along the Edging<3.  Comment with interest before i leave for bass center!<3.  Ill have other insane things in the lot <3 #artistsoninstagram #artist #artifact #artistofinstagram #instagramart #wrapsofinstagram #wrapsofig #electroformedpendant #gold #goldpendant #headyart #headypendants #headypendant #amorphous #amorphouswirewraps 
#jewelry #ooak #ooakjewelery #ooakpendant #420 #710 #dabs #bud #dank #stoner #musicfestival #basscenter #electroformed"
"another leaf pendant made available ones made purple lollipop experimental cfl dm inquiry thank support",0,"Another leaf pendant I made available.. this ones made from purple lollipop and an experimental cfl. Dm for inquiry and thank you for all the support. 🙏🙏
#leaf #leafart #supportlocal #glassofig #glassforsale #glasslife #glassart #dabs  #rosin #heady #headyart #pendantsofig #pendant #glassjewelry #jewelry #boro #boroart #sculptedglass #phillyboro"
"new new got new banger im soooooo happy little dab mango haze",0,"My new new from @positively_vibe got that new banger too from @highlyeducatedti 😍😍😍 I'm soooooo happy 👌🏼👌🏼👌🏼🔥🔥🔥Doing a little dab of some Mango haze from @viola.lifestyle
#fireshots #meltshot #positivelyvibe #highlyeducated #bigbangers #bigdabs #diamonds #honeypot #viola #mangohaze #bubblecap #recycler #localglass #dabs #dabsfordays #dabbergirl #denver #colorado #dailydabbers #talkingterps #terptasting #710community #5280milehigh #diamonds #ibreakdiamondsnothearts #peaceloveandpositivity #stayweird"
"still pokédabbers grabs charizard way 40 shipped grab 70 hand painted one kind dm",0,"Still have these pokédabbers up for grabs! With Charizard on the way 👍 $40 shipped each. Or grab both for $70. Hand painted, one of a kind! DM me #headyart #rosin #solventless #heady #terps #710society #fueledbymids #hashrosin #highsociety #710 #dablife #dabstagram #710life #710works #710community #positivevibesonly"
"ction 18mm starting bid 30 1 increments ends tonight 6pm pst 6919 5 minute snipe rule dm questions winner pays 5 shipping us 15 international winner must paypal venmo ready also take cash app winner must contact within 24hrs pay item reauctioned must 1821 years older bid please tag person outbid thanks happy bidding",1,"**CTION! For a #goldandsilverfumed and #slyme 18mm #screenbowl ! Starting bid is $30 with $1 OR more increments.  Ends tonight at 6pm PST 6/9/19 with a 5 minute snipe rule! Dm for questions.  Winner pays $5 shipping us and $15 for international.  Winner MUST BE PayPal OR venmo ready OR I also take the cash app now 😀. Winner MUST CONTACT WITHIN 24HRS and PAY OR ITEM will BE REAUCTIONED.  MUST BE 18/21 years OR OLDER to bid.  PLEASE TAG THE PERSON YOU OUTBID THANKS AND HAPPY BIDDING 😀
#glassforsale#glasspipe#glassslide#weedtools#weedsociety#highsociety#dabsociety#headyglass#dailydabbers#oprahsbookclub#glassauction#glassauctions"
"lovin bow tie best functional used date",0,"Lovin this bow tie #bubblecap from @beetleseuss & @homealoneglass best functional #puddlepusher I’ve used to date!! ❄️🌊💦 #customglass #sandiego #icewave #dabcity #locallegend #carlsbad"
"putting stickers fresh halen buckets get ready sandblast prefer flat round bottom",0,"Putting stickers on some fresh Halen Buckets to get ready to sandblast! Do you prefer a flat or a round bottom? ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ #Quartz #quartzonly #quartzmafia #flattopbucket #trough #icewax #oilrig #pig #piggy #art #americanquartz #lowtemp #globs #h3 #Halen #heady #bucket #halenquartz #joelhalen #halenbucket #coloradoquartz #bubblecap #insert #roundbottom #quartzinsert #socialmedia #🐷 #🐽"
"24 hr auction please read whole post bidding fume bubble trap rig wdoughnut mouth piece fume implosion marbles auction rules 1 tag person bid bid 2 cannot accept paypal 3 venmogoogle walletsquare cashfacebook pay 4auction starts 50 5please bid least 5 increments 6 bin 150 15 shipping 7be ready send payment within 24hrs get blocked 8buyer adds 15 shipping 9ends 629 2pm pst",1,"🔥🔥🔥24 HR AUCTION🔥🔥🔥
🔥PLEASE READ WHOLE POST BEFORE BIDDING🔥
⭐Fume Bubble Trap Rig w/Doughnut Mouth Piece and Fume implosion marbles⭐
👇👇👇👇👇👇👇👇👇👇👇👇👇
✌✌AUCTION RULES✌✌
1. TAG THE PERSON YOU OUT BID IN YOUR BID.
2. I CANNOT ACCEPT PAYPAL. 
3. VENMO/GOOGLE WALLET/SQUARE CASH/FACEBOOK PAY ONLY.
4.-AUCTION STARTS AT $50
5.-PLEASE BID IN AT LEAST $5 INCREMENTS
6. BIN 150+ $15 SHIPPING
7.-BE READY TO SEND PAYMENT WITHIN 24HRS OR GET BLOCKED.
8.-BUYER ADDS $15 FOR SHIPPING
9.ENDS AT 6/29 @ 2pm Pst

#boromarket #carbcapforsale #boroauction #carbcap #glassofig #glassart #carbcaps #glassforsale #glass #headyglass #glassporn #bestofglass #carbcapsofig #dabs #420 #bubblecap #carbcapsforsale #glasslife #boro #oprahsbookclub #art #terps #glassblowing #glass_of_ig #shatter #glassauctions #glass4sale #boroforsale #glasspipes #710society"
"little x3 wigwag spoon amber purple uction time starts 5 increments 1 ends call comments sometime 2moro must paypal redy payed 24hrs blocked cut go next person bid last serous inquiries happy bidding scadoozies old",1,"Little x3 wigwag spoon with amber purple ⚠ ♤UCTION TIME #⚠ starts at $5 .. increments of $1..
Ends when i call it on the comments sometime 2moro .must be PayPal redy if not payed in 24hrs you will be blocked and CUT OFF. And will go to the next person who bid last. Only serous inquiries only😁 happy bidding scadoozies . $old @340pm .. #glassauction #glassforsale #glassforsal #uction #headyart #mr_twitch #glass #artforsale #artforsalebyartist #handmade #functionalglass #420 #420society #trees #smoke #smoking #glass4sale #glass_of_ig #glassauction #newstuff #🔥 #🔥🔥🔥 #😁 #auction #glassauction #wigwag #carbcap #cannabiscommunity #iwillmarymary #420girls"
"cobalt mini tube featuring matching icy chipweave sections lovely opal encased back 10mm 45 female joint 2 hole jet perc available website gdglassgallerycom 3 0 0 even comes preplucked case website bio interested gem want browse rest collection much love everyone enjoy rest sunday",0,"🔷🔳🔘💙 •

This cobalt @dirgeglassworks mini tube featuring matching icy ❄️ chipweave sections, a lovely opal 💎 encased on the back, and a 10mm 45° female joint with a 2 hole jet perc is available through our website GDGlassgallery.com for under 💲3️⃣0️⃣0️⃣ and even comes in a preplucked case! 🤯💣🙏
Website is in our bio ☝️ if you are interested in this gem or just want to browse the rest of our collection 😁
Much love everyone, enjoy the rest of your Sunday 🤙"
"love andyglass well blown definitely one kind well made artist would recommend",0,"So I love with my andyglass, well blown and definitely one of a kind. Well made artist would recommend @andymelts #glass #handblown #dabcity @andymelts #dabber #bubblecap #ballin’"
"dimensional shifter sold link bio dm inquiries ever seen infinity concept anything existing going forever something scope little hard imagine well look visual representation infinity form glass light piece quality shifter far one look portal sends infinite spectrum light color swipe left detail shots dimensional shifter features dimensional glass cut polish crystal aesthetic comes 925 sterling silver chain doublesided piece looks great front either side sure swipe left frontback view see detail shots piece side like piece clickable link bio one gem weekend lookout like make thanks much love support happy",0,"//“Dimensional Shifter” #9//✨now sold (Link in @VINHWINH bio) DM for inquiries
Have you ever seen Infinity? 🤔♾ The concept of anything existing or going on for forever is something that in our scope is a little hard to imagine... well here’s a look at a visual representation of Infinity in the form of glass a light, this piece has some of the most #dimensional quality from a Shifter so far, one look through it’s portal sends you into an infinite spectrum of light and color! 🤩🌈✨
💎💎💎
SWIPE LEFT for detail shots
This “Dimensional Shifter” #9 features some of my Dimensional glass under an all #freehandfaceted cut and polish for that Crystal aesthetic and comes with a .925 Sterling Silver chain.. this double-sided piece looks great front either side, be sure to Swipe Left for a Front/Back view and to see detail shots of this piece! which side do you like more?!
💎💎💎
This piece is now #sold (clickable link in @VINHWINH bio), but I will have one more #dimensional gem for y’all this weekend so be on the lookout if you’d like to make it yours... until then thanks and much love for the support and happy #DiMensionalTraveling! 🙏🙌❣️✨
#VINHWINHglass #DimensionalShifter #handfacetedglass #headyglass #heirloomqualityglass #gemqualityglass #fullyfaceted #classinglass #highendglass #handmadewithlove #VINHWINHcollectors #forglassloverslikeyou🔮❣️"
